Sheet 1: All QBs (Top 5) + (The field) in terms of salary (Projected Performance PPG)

Position,Name + ID,Name,ID,Roser Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11183206),Todd Gurley II,11183206,RB/FLEX,9300,LAR@OAK 09/10/2018 10:20PM ET,LAR,26.52
WR,Davante Adams (11183300),Davante Adams,11183300,WR/FLEX,7800,CHI@GB 09/09/2018 08:20PM ET,GB,16.11
QB,Aaron Rodgers (11183187),Aaron Rodgers,11183187,QB,7500,CHI@GB 09/09/2018 08:20PM ET,GB,20.8
WR,Amari Cooper (11183302),Amari Cooper,11183302,WR/FLEX,7100,LAR@OAK 09/10/2018 10:20PM ET,OAK,11.74
WR,Golden Tate (11183304),Golden Tate,11183304,WR/FLEX,6700,NYJ@DET 09/10/2018 07:10PM ET,DET,14.66
QB,Jared Goff (11183188),Jared Goff,11183188,QB,6700,LAR@OAK 09/10/2018 10:20PM ET,LAR,18.41
WR,Marvin Jones Jr. (11183306),Marvin Jones Jr.,11183306,WR/FLEX,6500,NYJ@DET 09/10/2018 07:10PM ET,DET,14.63
QB,Matthew Stafford (11183189),Matthew Stafford,11183189,QB,6500,NYJ@DET 09/10/2018 07:10PM ET,DET,19.1
WR,Allen Robinson II (11183308),Allen Robinson II,11183308,WR/FLEX,6300,CHI@GB 09/09/2018 08:20PM ET,CHI,2.7
RB,Jordan Howard (11183208),Jordan Howard,11183208,RB/FLEX,6300,CHI@GB 09/09/2018 08:20PM ET,CHI,13.48
WR,Robert Woods (11183310),Robert Woods,11183310,WR/FLEX,6200,LAR@OAK 09/10/2018 10:20PM ET,LAR,15.12
RB,Jamaal Williams (11183210),Jamaal Williams,11183210,RB/FLEX,6000,CHI@GB 09/09/2018 08:20PM ET,GB,9.11
QB,Derek Carr (11183190),Derek Carr,11183190,QB,6000,LAR@OAK 09/10/2018 10:20PM ET,OAK,15.43
RB,Tarik Cohen (11183212),Tarik Cohen,11183212,RB/FLEX,5800,CHI@GB 09/09/2018 08:20PM ET,CHI,9.51
WR,Robby Anderson (11183312),Robby Anderson,11183312,WR/FLEX,5700,NYJ@DET 09/10/2018 07:10PM ET,NYJ,13.06
WR,Brandin Cooks (11183314),Brandin Cooks,11183314,WR/FLEX,5600,LAR@OAK 09/10/2018 10:20PM ET,LAR,14.02
QB,Mitchell Trubisky (11183191),Mitchell Trubisky,11183191,QB,5600,CHI@GB 09/09/2018 08:20PM ET,CHI,12.29
QB,Sam Darnold (11183192),Sam Darnold,11183192,QB,5400,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
WR,Cooper Kupp (11183316),Cooper Kupp,11183316,WR/FLEX,5200,LAR@OAK 09/10/2018 10:20PM ET,LAR,12.8
WR,Jordy Nelson (11183318),Jordy Nelson,11183318,WR/FLEX,5100,LAR@OAK 09/10/2018 10:20PM ET,OAK,9.15
RB,Marshawn Lynch (11183214),Marshawn Lynch,11183214,RB/FLEX,5100,LAR@OAK 09/10/2018 10:20PM ET,OAK,11.41
RB,Aaron Jones (11183216),Aaron Jones,11183216,RB/FLEX,5000,CHI@GB 09/09/2018 08:20PM ET,GB,7.17
RB,Isaiah Crowell (11183218),Isaiah Crowell,11183218,RB/FLEX,4900,NYJ@DET 09/10/2018 07:10PM ET,NYJ,9.22
TE,Jimmy Graham (11183430),Jimmy Graham,11183430,TE/FLEX,4800,CHI@GB 09/09/2018 08:20PM ET,GB,10.69
WR,Kenny Golladay (11183320),Kenny Golladay,11183320,WR/FLEX,4800,NYJ@DET 09/10/2018 07:10PM ET,DET,8.6
QB,Josh McCown (11183193),Josh McCown,11183193,QB,4800,NYJ@DET 09/10/2018 07:10PM ET,NYJ,17.5
WR,Randall Cobb (11183322),Randall Cobb,11183322,WR/FLEX,4700,CHI@GB 09/09/2018 08:20PM ET,GB,10.63
RB,Bilal Powell (11183220),Bilal Powell,11183220,RB/FLEX,4700,NYJ@DET 09/10/2018 07:10PM ET,NYJ,10.15
WR,Anthony Miller (11183324),Anthony Miller,11183324,WR/FLEX,4600,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,LeGarrette Blount (11183222),LeGarrette Blount,11183222,RB/FLEX,4600,NYJ@DET 09/10/2018 07:10PM ET,DET,7.09
QB,Matt Cassel (11183194),Matt Cassel,11183194,QB,4600,NYJ@DET 09/10/2018 07:10PM ET,DET,3.24
QB,DeShone Kizer (11183196),DeShone Kizer,11183196,QB,4500,CHI@GB 09/09/2018 08:20PM ET,GB,13.78
QB,Chase Daniel (11183195),Chase Daniel,11183195,QB,4500,CHI@GB 09/09/2018 08:20PM ET,CHI,-0.2
WR,Quincy Enunwa (11183326),Quincy Enunwa,11183326,WR/FLEX,4400,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
RB,Kerryon Johnson (11183224),Kerryon Johnson,11183224,RB/FLEX,4400,NYJ@DET 09/10/2018 07:10PM ET,DET,0
TE,Trey Burton (11183432),Trey Burton,11183432,TE/FLEX,4300,CHI@GB 09/09/2018 08:20PM ET,CHI,4.82
QB,EJ Manuel (11183198),EJ Manuel,11183198,QB,4300,LAR@OAK 09/10/2018 10:20PM ET,OAK,7.55
QB,Jake Rudock (11183197),Jake Rudock,11183197,QB,4300,NYJ@DET 09/10/2018 07:10PM ET,DET,-0.01
WR,Martavis Bryant (11183328),Martavis Bryant,11183328,WR/FLEX,4200,LAR@OAK 09/10/2018 10:20PM ET,OAK,9.27
RB,Theo Riddick (11183226),Theo Riddick,11183226,RB/FLEX,4200,NYJ@DET 09/10/2018 07:10PM ET,DET,9.69
QB,Sean Mannion (11183199),Sean Mannion,11183199,QB,4200,LAR@OAK 09/10/2018 10:20PM ET,LAR,1.24
WR,Taylor Gabriel (11183330),Taylor Gabriel,11183330,WR/FLEX,4100,CHI@GB 09/09/2018 08:20PM ET,CHI,4.67
WR,Jermaine Kearse (11183332),Jermaine Kearse,11183332,WR/FLEX,4000,NYJ@DET 09/10/2018 07:10PM ET,NYJ,11.38
QB,Brandon Allen (11183205),Brandon Allen,11183205,QB,4000,LAR@OAK 09/10/2018 10:20PM ET,LAR,0
QB,Luis Perez (11183204),Luis Perez,11183204,QB,4000,LAR@OAK 09/10/2018 10:20PM ET,LAR,0
QB,Connor Cook (11183203),Connor Cook,11183203,QB,4000,LAR@OAK 09/10/2018 10:20PM ET,OAK,0
QB,John Wolford (11183202),John Wolford,11183202,QB,4000,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
QB,Tim Boyle (11183201),Tim Boyle,11183201,QB,4000,CHI@GB 09/09/2018 08:20PM ET,GB,0
QB,Tyler Bray (11183200),Tyler Bray,11183200,QB,4000,CHI@GB 09/09/2018 08:20PM ET,CHI,-1
WR,Geronimo Allison (11183334),Geronimo Allison,11183334,WR/FLEX,3900,CHI@GB 09/09/2018 08:20PM ET,GB,3.35
RB,Doug Martin (11183232),Doug Martin,11183232,RB/FLEX,3900,LAR@OAK 09/10/2018 10:20PM ET,OAK,7
RB,Ameer Abdullah (11183228),Ameer Abdullah,11183228,RB/FLEX,3800,NYJ@DET 09/10/2018 07:10PM ET,DET,8.96
TE,Jared Cook (11183434),Jared Cook,11183434,TE/FLEX,3700,LAR@OAK 09/10/2018 10:20PM ET,OAK,8.74
RB,Ty Montgomery (11183230),Ty Montgomery,11183230,RB/FLEX,3700,CHI@GB 09/09/2018 08:20PM ET,GB,11.45
DST,Rams  (11183506),Rams ,11183506,DST,3600,LAR@OAK 09/10/2018 10:20PM ET,LAR,10.29
WR,Josh Bellamy (11183336),Josh Bellamy,11183336,WR/FLEX,3500,CHI@GB 09/09/2018 08:20PM ET,CHI,4.55
