Top-200 PPR Rankings For 2017,,,,,,,,,,,Top-200 PPR Rankings For 2017,,,,,
PLAYER/POSITION/TEAM,POSRANK,BYE,MB,MC,TC,EK,FY,AVG,,,PLAYER/POSITION/TEAM,,,,,
"1. David Johnson, RB, ARI",RB,8,1,1,3,1,2,1.6,,,1,David Johnson,,,,
"2. Le'Veon Bell, RB, PIT",RB,9,2,2,2,2,1,1.8,,,2,Le'Veon Bell,,,Matthew Stafford,Matthew Stafford
"3. Antonio Brown, WR, PIT",WR,9,3,4,1,4,3,3,,,3,Antonio Brown,,,,
"4. Ezekiel Elliott, RB, DAL",RB,6,8,3,5,3,4,4.6,,,4,Ezekiel Elliott,,,,
"5. Odell Beckham Jr., WR, NYG",WR,8,5,6,7,5,5,5.6,,,5,Odell Beckham Jr,,,,
"6. Julio Jones, WR, ATL",WR,5,6,5,4,7,6,5.6,,,6,Julio Jones,,,,
"7. Jordy Nelson, WR, GB",WR,8,4,8,6,8,11,7.4,,,7,Jordy Nelson,,,,
"8. Mike Evans, WR, TB",WR,1,7,9,13,6,7,8.4,,,8,Mike Evans,,,,
"9. LeSean McCoy, RB, BUF",RB,6,9,11,8,10,9,9.4,,,9,LeSean McCoy,,,,
"10. A.J. Green, WR, CIN",WR,6,10,7,10,13,8,9.6,,,10,A,J, Green,,
"11. Michael Thomas, WR, NO",WR,5,11,10,11,9,12,10.6,,,11,Michael Thomas,,,,
"12. Devonta Freeman, RB, ATL",RB,5,11,12,9,12,10,10.8,,,12,Devonta Freeman,,,,
"13. Melvin Gordon, RB, LAC",RB,9,12,13,12,11,16,12.8,,,13,Melvin Gordon,,,,
"14. Brandin Cooks, WR, NE",WR,9,12,16,16,14,15,14.6,,,14,Brandin Cooks,,,,
"15. Jordan Howard, RB, CHI",RB,9,15,19,18,15,13,16,,,15,Jordan Howard,,,,
"16. DeMarco Murray, RB, TEN",RB,8,13,21,15,16,17,16.4,,,16,DeMarco Murray,,,,
