,player,position,avgrank,overallrank,positionrank
0,Broncos,D,139.2,130,1
1,Seahawks,D,140.8,131,2
2,Chiefs,D,143.2,133,3
4,Texans,D,143.8,134,4
5,Vikings,D,145,135,5
6,Panthers,D,154.8,146,6
7,Cardinals,D,155.6,149,7
8,Patriots,D,157.4,151,8
9,Jaguars,D,169.4,166,9
10,Bengals,D,169.6,167,10
11,Giants,D,178,179,11
12,Chargers,D,188,199,12
13,Justin Tucker,K,150.4,137,1
14,Stephen Gostkowski,K,152,139,5
15,Matt Bryant,K,152,140,4
16,Adam Vinatieri,K,154,143,6
17,Dan Bailey,K,154.6,145,7
18,Matt Prater,K,157,150,8
19,Dustin Hopkins,K,164.2,161,9
20,Mason Crosby,K,165.2,162,10
21,Cairo Santos,K,173.8,173,11
22,Wil Lutz,K,180.8,183,2
23,Chris Boswell,K,184,190,3
24,Tom Brady,QB,45.4,44,1
25,Aaron Rodgers,QB,45.8,45,2
26,Drew Brees,QB,55.8,57,3
27,Matt Ryan,QB,71,67,4
28,Russell Wilson,QB,85,79,5
29,Kirk Cousins,QB,90.2,89,6
30,Cam Newton,QB,90.2,91,7
31,Dak Prescott,QB,112,105,8
32,Derek Carr,QB,115,111,9
33,Jameis Winston,QB,116,113,10
34,Marcus Mariota,QB,117,114,11
35,Andrew Luck,QB,117.4,116,12
36,Matthew Stafford,QB,121.2,119,13
37,Ben Roethlisberger,QB,135.6,127,14
38,Philip Rivers,QB,142.4,132,15
39,Andy Dalton,QB,162.2,158,16
40,Carson Wentz,QB,165.8,163,17
41,Tyrod Taylor,QB,167.4,164,18
42,Eli Manning,QB,178.2,180,19
43,Carson Palmer,QB,181.8,186,20
44,David Johnson,RB,1.6,1,1
45,Le'Veon Bell,RB,1.8,2,2
46,Ezekiel Elliott,RB,4.6,4,3
47,LeSean McCoy,RB,9.4,9,4
48,Devonta Freeman,RB,10.8,12,5
49,Melvin Gordon,RB,12.8,13,6
50,Jordan Howard,RB,16,15,7
51,DeMarco Murray,RB,16.4,16,8
52,Jay Ajayi,RB,19.6,18,9
53,Todd Gurley,RB,20,19,10
54,Leonard Fournette,RB,26.4,24,11
55,Lamar Miller,RB,28,27,12
56,Isaiah Crowell,RB,31,30,13
57,Kareem Hunt,RB,34.4,32,14
58,Christian McCaffrey,RB,38.4,35,15
59,Carlos Hyde,RB,39,36,16
60,Marshawn Lynch,RB,39.8,38,17
61,Ty Montgomery,RB,42,39,18
62,Dalvin Cook,RB,42.8,41,19
63,Bilal Powell,RB,49,50,20
64,Danny Woodhead,RB,49.8,51,21
65,Joe Mixon,RB,52.8,54,22
66,Mark Ingram,RB,58.4,61,23
67,Frank Gore,RB,61,62,24
68,Theo Riddick,RB,70,65,25
69,Adrian Peterson,RB,71,66,26
70,Rob Kelley,RB,71.2,68,27
71,C.J. Anderson,RB,71.2,69,28
72,Ameer Abdullah,RB,73.2,70,29
73,Paul Perkins,RB,75,72,30
74,Mike Gillislee,RB,76,73,31
75,Terrance West,RB,81.6,76,32
76,Duke Johnson Jr.,RB,82.8,77,33
77,Tevin Coleman,RB,85.4,82,34
78,Matt Forte,RB,88,85,35
79,James White,RB,90.6,92,36
80,Doug Martin,RB,91.8,93,37
81,Eddie Lacy,RB,93.8,94,38
